3.0,-0.00055061973,0.18768926,1.0,0.14469266,0.11882392,0.41264868,0.0034808316,0.06657766788563829,0.033813646832055955,0.173828125,0.06657766788563829,1252.2194018480482,459.326642987612,2831.624905425445,554.0855226849184,2775.6815159574467,1232.0333540578624,5742.1875,554.6875,1541.2935743771511,350.14563708182925,2427.408414878335,893.6776676188541,-213.3861,108.728325,-41.082314,106.575195,26.016216,160.57776,18.008062,27.942385,81.60184,47.72409,11.898342,80.07376,-4.437479,15.352171,17.36117,1.5530717,11.516288,24.711304,-25.322647,14.590069,4.0747643,-9.471664,11.745863,12.034147,-9.3380575,11.45851,13.310091,-4.1637936,6.234636,8.37025,-6.286609,6.798241,9.093532,-5.9600325,6.6905413,12.579803,-8.464436,9.451529,10.876465,0.31643623,happy
2.0,-0.04674157,0.12846407,1.0,0.12204755,0.05816583,0.26516476,0.04644608,0.04082186259920635,0.0253266833336189,0.107421875,0.04082186259920635,880.1987616884333,404.79459503269015,3013.4188238247198,598.8722533313918,1644.717261904762,950.6302500857618,5953.125,875.0,1215.735078163458,303.0344675396748,2443.1664919859863,814.2767479276812,-197.3568,81.601364,-81.164215,146.80576,33.7561,193.93811,10.580812,18.972952,55.622185,25.161884,25.830837,88.02426,-10.384109,25.765806,21.554377,-4.458562,10.66481,15.166643,-0.47938085,15.237463,28.000637,-12.78248,9.270995,5.4225144,-11.717901,11.627235,4.291021,5.54157,9.130169,30.1971,-11.618386,8.920236,5.4939632,1.4105862,11.236539,29.069378,-6.8443904,8.352233,10.362411,0.33774546,neutral
3.0,-0.078402035,0.15114848,1.0,0.15742111,0.06335364,0.2791079,0.07822215,0.0551030585106383,0.04489594917090512,0.1884765625,0.0551030585106383,1477.9891281911025,469.0901199564665,3145.1399330909253,754.934380798549,3069.2320478723404,922.1183873006764,6796.875,1617.1875,1584.8895140057464,261.49165157548856,2438.6226286583756,1296.9906697360784,-128.95723,78.7287,6.5617533,94.6373,23.421642,136.9353,-20.62355,24.99168,37.600033,30.855488,26.20774,95.35388,-11.718355,14.993853,20.696558,-19.088026,16.096565,12.59314,1.6977657,13.574472,42.433533,-18.377178,12.025797,11.71504,2.2181122,11.171299,26.618923,3.85879,16.203543,29.977343,-1.998504,9.283951,18.10382,3.5036664,6.458458,20.3137,-8.662269,7.390955,5.863603,0.29194072,angry
3.0,-8.348789e-05,0.09027761,1.0,0.051466,0.073734,0.28867212,0.003534159,0.26043571309840424,0.1377086477465742,0.4365234375,0.26043571309840424,2515.852774118498,1010.6068495400493,3631.5631315887363,785.2984310901403,4624.501329787234,1737.15806054756,6328.125,992.1875,1882.3550303406466,380.63878824861524,2250.4933808918204,825.3659561567971,-259.97092,73.77184,-90.35352,50.22764,48.4489,164.79051,-8.344896,17.731918,27.435692,13.115382,14.09817,53.632683,-10.6264715,15.39368,15.697945,-4.7345333,16.484217,27.792688,-17.945663,12.599574,0.99330425,-19.387701,16.422838,3.9231997,-12.3369465,9.442859,9.57066,-6.256184,9.97135,13.0980015,-17.173529,11.653477,-3.8930273,-7.7265925,6.5300307,11.858866,-12.854003,7.398932,0.32840812,0.4882199,sad
3.0,-0.043492492,0.18616903,1.0,0.16913788,0.087227546,0.37229627,0.041657723,0.0462412732712766,0.04457970260663489,0.2470703125,0.0462412732712766,1056.3596782612558,600.709653309297,3894.26612135872,441.65848571490284,2082.197473404255,1414.9441866395716,6703.125,523.4375,1394.2756294987903,413.3945853501101,2659.4783053632104,782.6201989545661,-163.79353,74.57815,-39.88294,124.56914,38.28554,195.21024,19.123962,25.57552,72.20001,38.735806,19.887987,80.62216,-0.48486662,15.658996,21.604488,-4.481788,15.417406,37.464123,-10.419436,11.367286,14.493078,-5.011625,9.135584,12.033102,-9.823234,14.828251,15.537651,0.4641123,8.056138,20.975452,-11.02561,9.072526,12.03145,-3.62208,7.0762863,12.31171,-13.4881315,7.081897,6.07372,0.3567835,neutral
2.0,0.00027764033,0.25143915,1.0,0.22784798,0.10214398,0.4050876,0.0653472,0.09330822172619048,0.046018718834607474,0.27734375,0.09330822172619048,1432.9677138146349,422.09334541920776,3313.4767592027483,876.1002864792547,2698.90873015873,1094.266128042591,6375.0,890.625,1583.0806224668934,254.4023150179334,2405.660884989532,1171.2596334101663,-106.867645,65.4669,21.657915,101.917786,26.50345,146.26071,3.2654138,21.677046,50.617493,-14.174446,14.863936,29.097767,-38.12043,18.209093,22.721697,-9.920943,10.779163,21.920515,-1.5926105,10.640315,20.830301,1.6132168,11.17253,26.034172,-16.763577,10.162853,4.66728,9.281685,10.260682,38.003956,-7.3604884,11.697273,25.461935,8.652552,7.335028,28.714725,0.6848646,9.3929405,22.156933,0.24855484,angry
3.0,0.0005350148,0.28164387,1.0,0.24922237,0.12650439,0.53159827,0.017405098,0.09594207114361702,0.04746725728173613,0.2353515625,0.09594207114361702,1626.9874955276157,512.64482042181,3335.7994975123856,904.4747952457351,3302.277260638298,1261.0847168324842,6171.875,968.75,1694.1084140560263,283.872270632177,2424.6439633146188,1079.1830142701165,-110.91293,64.83252,40.0403,81.54933,27.646563,146.20316,-1.6743127,22.765053,63.89364,-3.6374671,22.924,53.433365,-22.00598,16.779667,12.9500885,-5.2408686,11.147431,18.844654,-18.858404,15.666343,12.674414,-0.41274643,13.112556,36.73104,-13.442608,10.711446,11.234711,8.477939,11.976502,32.17208,-3.930772,12.054737,26.395092,6.8573484,8.532023,30.15996,-4.571653,11.369218,24.163143,0.23643112,angry
3.0,-0.000114989656,0.13320668,1.0,0.10529711,0.08025236,0.33508754,0.013722511,0.12079247007978723,0.06086350140475567,0.32421875,0.12079247007978723,1900.5725713830425,469.2682245658638,3186.0205968287846,1182.9830678387937,4020.1961436170213,1154.1497520468,6070.3125,1437.5,1914.653047643125,294.69533493891294,2327.022210051205,1169.2320395272209,-149.83855,43.780224,-59.20198,68.70024,19.125565,119.34652,-1.5892876,18.485916,27.974325,8.777322,19.181204,43.568153,-21.275654,12.579089,1.2563859,-23.238169,14.564073,8.9673195,-23.50449,12.80872,1.476949,-19.915913,8.49554,-0.3676243,-23.283182,8.832715,-3.6291952,-6.8555007,8.652209,14.931721,-11.283082,6.03391,5.1737823,-9.642225,7.098821,6.065499,-11.458644,5.354199,0.9205078,0.31291968,sad
3.0,-0.0008085031,0.2610764,1.0,0.2118606,0.14393604,0.607466,0.015264352,0.07272273936170212,0.025888490597608588,0.17041015625,0.07272273936170212,1455.1039935728882,394.3377140283178,2605.6545474044256,855.7187222645034,2954.4547872340427,1255.125089241959,5757.8125,882.8125,1657.4493770904844,328.90770604972863,2301.9675637256028,971.844836488082,-157.95563,99.20475,53.5012,90.92527,27.604992,151.36722,4.585106,24.012169,63.358185,1.7077155,21.853176,48.434704,-23.137724,24.303352,18.767197,-8.823094,14.656165,21.625702,-8.292569,18.28757,31.13121,-8.362973,14.0047,15.581599,-14.627309,13.1425295,16.918854,11.404638,12.126638,37.7602,0.116527386,11.11348,27.908611,14.378507,10.262628,46.70508,3.3219383,9.632916,26.319557,0.27665392,angry
2.0,-0.043010343,0.18363333,1.0,0.17160326,0.075026944,0.29773292,0.040764403,0.062027219742063495,0.02643326641492578,0.14794921875,0.062027219742063495,1240.4653399485424,449.855100468667,2403.2082315251087,616.797445699985,2654.7619047619046,1168.3419436020026,4953.125,578.125,1542.8237030561725,331.43857212700186,2244.1601919726127,994.3258871226034,-150.60828,80.516754,-46.497643,102.14635,35.011505,176.53473,18.197554,20.649786,56.349335,51.888016,26.864069,87.01004,-5.255055,14.348447,30.105938,-12.360389,11.33727,17.003452,-11.949647,12.003256,13.7316,-16.390354,10.21406,8.2021055,-17.478493,9.0044365,1.1035706,-5.220918,11.900498,19.083035,-3.0822914,7.885345,20.263897,-0.13282946,12.035342,29.351715,-13.117607,8.30934,10.778332,0.26242757,neutral
